"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.010874999E-3,-1.901046753E-1,1.131197662E0,8.604107666E0
9.026125001E-3,-2.960842896E-1,7.803273010E-1,9.608818359E0
1.906312500E-2,1.124311981E0,6.474037170E-1,9.739047546E0
2.910012500E-2,1.004561005E0,5.689668274E-1,1.017733612E1
3.913712500E-2,7.304809570E-1,5.722599792E-1,1.049093399E1
4.917412500E-2,6.370751953E-1,6.243516541E-1,1.049273026E1
5.921112500E-2,5.948629761E-1,5.439688110E-1,1.009889923E1
6.924812500E-2,6.644682312E-1,5.468128967E-1,9.637558594E0
7.928512500E-2,6.957531738E-1,5.056484985E-1,9.396110687E0
8.932212500E-2,7.716453552E-1,7.363188171E-1,9.581125946E0
9.935912500E-2,7.821235657E-1,8.419990540E-1,9.815987549E0
1.093961250E-1,7.934999084E-1,9.696835327E-1,9.640851746E0
1.194331250E-1,6.176156616E-1,1.016985168E0,9.308243408E0
1.294701250E-1,6.569837952E-1,9.455836487E-1,9.339378662E0
1.395071250E-1,7.110214233E-1,9.048683167E-1,9.393266602E0
1.495441250E-1,7.562274170E-1,8.652008057E-1,9.336534576E0
1.595811250E-1,8.470884705E-1,8.370593262E-1,9.484876099E0
1.696181250E-1,5.643264771E-1,6.180647278E-1,9.044342194E0
1.796551250E-1,1.040486298E0,6.083349609E-1,9.117689667E0
1.896921250E-1,1.237776031E0,5.298980713E-1,1.015293686E1
1.997291250E-1,1.082848206E0,5.075944519E-1,1.021311172E1
2.097661250E-1,1.005010071E0,7.331753540E-1,9.950557709E0
2.198031250E-1,9.030720520E-1,8.137078857E-1,9.874216461E0
2.298411250E-1,9.032217407E-1,8.249345398E-1,9.859247589E0
2.398781250E-1,9.940827942E-1,9.247769165E-1,1.017658768E1
2.499151250E-1,1.019380188E0,8.996292114E-1,1.053988220E1
2.599521250E-1,9.493258667E-1,8.143066406E-1,1.084135529E1
2.699891250E-1,9.788145447E-1,6.309379578E-1,1.118339401E1
2.800261250E-1,1.162332916E0,4.543052673E-1,1.131452133E1
2.900631250E-1,1.268761597E0,4.650828552E-1,1.171912994E1
3.001001250E-1,1.411115570E0,6.393205261E-1,1.211445786E1
3.101371250E-1,1.488504639E0,9.630972290E-1,1.194755493E1
3.201741250E-1,1.403780823E0,1.209185486E0,1.159339142E1
3.302111250E-1,1.324296112E0,1.231040039E0,1.165985321E1
3.402481250E-1,1.343007202E0,1.130449219E0,1.180235687E1
3.502851250E-1,1.400337982E0,9.854008484E-1,1.178978302E1
3.603221250E-1,1.617087250E0,8.405021667E-1,1.168589905E1
3.703591250E-1,1.972298584E0,6.680607605E-1,1.115525253E1
3.803961250E-1,2.398162994E0,5.463638306E-1,1.060320053E1
3.904331250E-1,2.848127289E0,5.418731689E-1,1.013721954E1
4.004701250E-1,3.862567749E0,6.369255066E-1,8.828940125E0
4.105071250E-1,4.377496948E0,5.623805237E-1,7.765401764E0
4.205441250E-1,4.391118622E0,5.766009521E-1,7.459438019E0
4.305811250E-1,4.101470947E0,5.767506409E-1,7.070397034E0
4.406181250E-1,3.969894562E0,4.300556946E-1,6.916966095E0
4.506551250E-1,4.615502014E0,1.255888367E-1,6.387666779E0
4.606921250E-1,5.244044952E0,-2.811154175E-1,6.170169067E0
4.707291250E-1,6.246061249E0,-4.222718811E-1,6.484216003E0
4.807661250E-1,7.283104706E0,-9.580078125E-2,6.501729584E0
4.908031250E-1,7.940238190E0,4.543052673E-1,6.652615814E0
5.008401250E-1,8.417146454E0,9.261241150E-1,6.433920593E0
5.108771250E-1,8.443491669E0,1.256038055E0,5.671256561E0
5.209141250E-1,8.282426605E0,1.394500122E0,4.618046722E0
5.309511250E-1,7.687114563E0,1.183139648E0,2.398013306E0
