"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.153412500E-2,6.644112617E-2,-1.801794320E-1,-1.507322770E-2
2.157112500E-2,9.242771566E-2,-2.371247411E-1,-7.114741951E-2
3.160812500E-2,1.451739222E-1,-3.748115003E-1,-8.201128244E-2
4.164512500E-2,1.894793361E-1,-4.996218681E-1,-6.178350747E-2
5.168212500E-2,1.616249979E-1,-5.323274732E-1,-5.054417625E-2
6.171912500E-2,9.432558715E-2,-4.965918660E-1,-3.245598823E-2
7.175612500E-2,2.908663452E-2,-4.221997857E-1,-3.636526689E-2
8.179312500E-2,2.237467095E-2,-4.004769325E-1,-2.400766686E-2
9.183012500E-2,5.076017231E-2,-4.204613268E-1,-1.280782931E-2
1.018671250E-1,3.337345645E-2,-4.165091813E-1,9.313718416E-3
1.119041250E-1,-4.136230424E-2,-3.268921673E-1,2.987746894E-2
1.219411250E-1,-8.530819416E-2,-2.453672141E-1,4.871241003E-2
1.319781250E-1,-6.303615123E-2,-1.746057421E-1,6.156690046E-2
1.420151250E-1,-3.868340328E-2,-8.073303103E-2,5.278858915E-2
1.520521250E-1,-2.246555127E-2,-2.455897443E-2,3.954149410E-2
1.620891250E-1,-1.080345139E-1,1.092374399E-1,8.030942827E-2
1.721261250E-1,-1.104806811E-1,2.052149028E-1,1.713695936E-2
1.821631250E-1,7.505070418E-3,1.047205254E-1,3.349242266E-3
1.922001250E-1,3.941736370E-2,4.208099842E-2,-4.553070758E-4
2.022371250E-1,3.401673958E-2,-3.338149982E-3,-3.807427827E-3
2.122741250E-1,7.409504615E-4,-2.091299556E-2,-2.706006868E-3
2.223111250E-1,-4.094763845E-2,-2.064268477E-2,6.265383679E-3
2.323491250E-1,-7.079169154E-2,-8.430292457E-2,1.767701469E-2
2.423861250E-1,-1.199722886E-1,-2.076059580E-1,1.652333327E-2
2.524231250E-1,-1.664459854E-1,-3.904357553E-1,1.431067567E-2
2.624601250E-1,-1.369980723E-1,-6.562693119E-1,6.689240225E-3
2.724971250E-1,-1.166951954E-1,-9.200393558E-1,1.528728567E-2
2.825341250E-1,-7.734566182E-2,-1.297130227E0,3.564182669E-2
2.925711250E-1,-7.096866518E-2,-1.723504424E0,6.233847141E-2
3.026081250E-1,-1.194917262E-1,-2.089297533E0,8.434763551E-2
3.126451250E-1,-1.931257993E-1,-2.399586678E0,9.838720411E-2
3.226821250E-1,-2.395505458E-1,-2.777660370E0,1.067069173E-1
3.327191250E-1,-2.478009462E-1,-3.213275194E0,1.063846052E-1
3.427561250E-1,-2.328739315E-1,-3.681379795E0,1.069689021E-1
3.527931250E-1,-2.024818212E-1,-4.183156490E0,1.066072285E-1
3.628301250E-1,-1.496644169E-1,-4.642291546E0,1.033690944E-1
3.728671250E-1,-1.433065087E-1,-5.001684666E0,1.019377336E-1
3.829041250E-1,-1.505455077E-1,-5.356748104E0,8.251823485E-2
3.929411250E-1,-7.548248768E-2,-5.529756546E0,7.887907326E-2
4.029781250E-1,4.598501138E-3,-5.522964001E0,5.850296468E-2
4.130151250E-1,2.421977371E-2,-5.518335819E0,4.323564097E-2
4.230521250E-1,3.450969234E-2,-5.473199368E0,4.702026024E-2
4.330891250E-1,2.417397918E-3,-5.398676395E0,1.801814698E-2
4.431261250E-1,3.770641610E-2,-5.462896347E0,-4.005425144E-4
4.531631250E-1,5.901225656E-2,-5.398461342E0,-4.976275191E-2
4.632001250E-1,9.277021885E-2,-5.427264690E0,-1.097517908E-1
4.732371250E-1,1.123355106E-1,-5.456422806E0,-1.310124546E-1
4.832741250E-1,9.744657576E-2,-5.587047100E0,-9.507681429E-2
4.933111250E-1,3.387695178E-2,-5.808331966E0,-9.858183563E-3
5.033481250E-1,-6.615377218E-2,-5.946419716E0,9.729064256E-2
5.133851250E-1,-1.566845030E-1,-6.136003494E0,2.204625309E-1
5.234221250E-1,-2.009515613E-1,-6.056045532E0,2.790166438E-1
5.334591250E-1,-2.214894444E-1,-5.510190010E0,2.279457599E-1
5.434961250E-1,-2.138184756E-1,-4.401363850E0,1.096111238E-1
5.535331250E-1,-2.125999480E-1,-3.124167681E0,3.416766971E-2
5.635701250E-1,-2.165334374E-1,-2.161822557E0,2.466763929E-2
5.736071250E-1,-1.648279577E-1,-1.598983884E0,5.175376683E-2
5.836441250E-1,-7.285729051E-2,-1.168622375E0,7.385108620E-2
5.936811250E-1,4.732131958E-2,-7.374336720E-1,1.138538942E-1
6.037181250E-1,1.108843088E-1,-2.805507779E-1,1.230804175E-1
6.137551250E-1,1.021061763E-1,6.013251096E-2,7.969003171E-2
6.237921250E-1,6.180083007E-2,2.929308712E-1,1.247317903E-2
6.338291250E-1,-1.964148879E-2,3.342756331E-1,-4.897879809E-2
6.438661250E-1,-8.086969703E-2,1.525135785E-1,-7.585567981E-2
6.539031250E-1,-7.799608260E-2,-1.685545444E-1,-1.064848080E-1
6.639401250E-1,-6.071163341E-2,-5.824624896E-1,-1.363968849E-1
6.739771250E-1,-1.026798189E-1,-6.809894443E-1,-9.485232085E-2
6.840141250E-1,-1.099113673E-1,-5.284326673E-1,-7.373132557E-2
6.940511250E-1,-8.027684689E-2,-3.711564541E-1,-1.094367951E-1
7.040881250E-1,-4.614337906E-2,-9.572701156E-2,-1.415252239E-1
7.141251250E-1,2.037767088E-3,1.694117785E-1,-7.558787614E-2
7.241621250E-1,1.802525483E-2,4.735122919E-1,1.658519544E-2
7.341991250E-1,2.156839520E-2,6.493684053E-1,5.218821019E-2
7.442371250E-1,-3.200561926E-2,6.827029586E-1,8.700823784E-2
7.542741250E-1,-1.239208281E-1,6.010773778E-1,1.434529573E-1
7.643111250E-1,-1.806168556E-1,4.496843815E-1,1.650389433E-1
