t,x,y,z
2.039613600E-2,2.433500528E0,-8.590233326E-1,9.833304405E0
2.277285500E-2,2.500499725E0,-9.786644578E-1,9.866804123E0
2.514957300E-2,2.530410051E0,-1.049850941E0,9.799804688E0
2.752629200E-2,2.574677229E0,-1.054038405E0,9.680164337E0
2.990301100E-2,2.618944407E0,-1.039083242E0,9.546764374E0
3.227973000E-2,2.667997360E0,-9.954141974E-1,9.427721024E0
3.465650000E-2,2.702693224E0,-1.004387259E0,9.356534958E0
3.703321900E-2,2.702693224E0,-1.033101201E0,9.336793900E0
3.940993800E-2,2.736192703E0,-1.071386337E0,9.370891571E0
4.178665700E-2,2.734996319E0,-1.090528965E0,9.466006279E0
4.416337500E-2,2.739183664E0,-1.119242787E0,9.537791252E0
4.654009400E-2,2.743371248E0,-1.134197950E0,9.600004196E0
4.891681300E-2,2.748156786E0,-1.115055323E0,9.590433121E0
5.129353200E-2,2.738585472E0,-1.081555843E0,9.571888924E0
5.367025000E-2,2.734398127E0,-1.052842021E0,9.533603668E0
5.604696900E-2,2.744567633E0,-1.028913736E0,9.480961800E0
5.842368800E-2,2.744567633E0,-1.028913736E0,9.457033157E0
6.080045900E-2,2.744567633E0,-1.037886858E0,9.442676544E0
6.317717800E-2,2.759522676E0,-1.037886858E0,9.404391289E0
6.555389600E-2,2.754138947E0,-1.019342422E0,9.433703423E0
6.793061500E-2,2.687139750E0,-1.024128079E0,9.427721024E0
7.030733400E-2,2.620140791E0,-9.672985673E-1,9.437292099E0
7.268405300E-2,2.542972326E0,-8.620143533E-1,9.442078590E0
7.506077100E-2,2.490330219E0,-7.854440212E-1,9.427721024E0
7.743749000E-2,2.447259426E0,-7.525427341E-1,9.432506561E0
7.981420900E-2,2.446661234E0,-7.334001660E-1,9.461220741E0
8.219092800E-2,2.484946251E0,-7.908278704E-1,9.489934921E0
8.456769800E-2,2.504088879E0,-8.386843204E-1,9.518648148E0
8.694441700E-2,2.561516523E0,-9.002995491E-1,9.499505997E0
8.932113600E-2,2.581855536E0,-9.385846853E-1,9.437292099E0
9.169785500E-2,2.630908489E0,-9.332008362E-1,9.337391853E0
9.407457300E-2,2.665006161E0,-9.373882413E-1,9.232108116E0
9.645129200E-2,2.694318295E0,-9.128618240E-1,9.175278664E0
