t,x,y,z
2.699629200E-2,1.259872466E-1,-3.313846514E-2,1.878355257E-2
2.937301100E-2,1.198787764E-1,-2.107422985E-2,2.000524849E-2
3.174973000E-2,1.148392856E-1,-1.740914769E-2,1.496575773E-2
3.412650000E-2,1.111742035E-1,-1.618745178E-2,8.857285604E-3
3.650321900E-2,1.099525094E-1,-1.618745178E-2,2.748812549E-3
3.887993800E-2,1.087308154E-1,-1.267508045E-2,-2.290677279E-3
4.125665700E-2,1.075091213E-1,-1.023169141E-2,-7.177455351E-3
4.363337500E-2,1.075091213E-1,6.108472589E-4,-8.246437646E-3
4.601009400E-2,1.087308154E-1,7.788302377E-3,-7.024743594E-3
4.838681300E-2,1.087308154E-1,1.740914769E-2,-8.093725890E-3
5.076353200E-2,1.038440317E-1,2.825168520E-2,-9.315420873E-3
5.314025000E-2,9.758284688E-2,3.176405653E-2,-8.093725890E-3
5.551696900E-2,9.269607067E-2,3.542914242E-2,-9.468132630E-3
5.789368800E-2,8.765657991E-2,4.016320780E-2,-1.313321572E-2
6.027045900E-2,7.650861889E-2,4.260659590E-2,-1.328592747E-2
6.264717800E-2,6.902574003E-2,4.138490185E-2,-1.221694518E-2
6.502389600E-2,6.154286116E-2,4.016320780E-2,-1.114796288E-2
6.740061500E-2,5.650337040E-2,3.909422457E-2,-6.413896102E-3
6.977733400E-2,4.902049154E-2,4.016320780E-2,9.162708884E-4
7.215405300E-2,4.153761268E-2,3.894151375E-2,6.872031838E-3
7.453077100E-2,4.016320780E-2,3.298575059E-2,1.053711493E-2
7.690749000E-2,3.894151375E-2,2.702999115E-2,6.719320081E-3
7.928420900E-2,3.649812192E-2,2.458660305E-2,5.497625098E-3
8.166092800E-2,3.023693897E-2,2.107422985E-2,1.679830020E-3
8.403769800E-2,2.275406010E-2,1.863084175E-2,-4.734066315E-3
8.641441700E-2,1.527118124E-2,2.107422985E-2,-1.084253844E-2
8.879113600E-2,5.344913341E-3,2.229592577E-2,-1.359135192E-2
9.116785500E-2,-3.359660041E-3,1.863084175E-2,-1.252236869E-2
9.354457300E-2,-1.343864016E-2,1.267508045E-2,-1.023169141E-2
9.592129200E-2,-2.336490713E-2,4.275931045E-3,-1.053711493E-2
9.829801100E-2,-2.977880463E-2,-1.130067464E-2,-9.468132630E-3
1.006747300E-1,-3.466558084E-2,-2.443389036E-2,-8.551862091E-3
1.030514480E-1,-3.970507160E-2,-3.405473381E-2,-1.114796288E-2
1.054282190E-1,-4.596625641E-2,-4.489727318E-2,-1.252236869E-2
1.078049380E-1,-5.100574717E-2,-5.085303262E-2,-1.145338640E-2
1.101816570E-1,-5.604523420E-2,-5.451811850E-2,-9.162709117E-3
1.125583750E-1,-6.108472496E-2,-6.047387794E-2,-6.872031838E-3
1.149350940E-1,-6.352811307E-2,-6.520794332E-2,-4.428642802E-3
1.173118130E-1,-6.230641901E-2,-6.887302548E-2,-5.650337320E-3
1.196885320E-1,-6.474980712E-2,-6.642963737E-2,-9.315420873E-3
1.220652500E-1,-6.474980712E-2,-6.169557199E-2,-1.175880991E-2
1.244419690E-1,-6.230641901E-2,-5.436540768E-2,-1.298050396E-2
1.268186880E-1,-5.726693198E-2,-4.489727318E-2,-1.145338640E-2
1.291954590E-1,-4.978405312E-2,-3.527642787E-2,-1.374406368E-2
1.315721780E-1,-4.352286831E-2,-2.565558441E-2,-1.236965694E-2
1.339488960E-1,-3.726168349E-2,-1.725643501E-2,-1.343864016E-2
1.363256150E-1,-3.344388679E-2,-1.359135192E-2,-1.450762246E-2
1.387023340E-1,-2.718270384E-2,-1.481304597E-2,-1.435491070E-2
1.410790530E-1,-1.969982497E-2,-1.374406368E-2,-1.298050396E-2
1.434557710E-1,-9.773556143E-3,-1.481304597E-2,-1.404948719E-2
1.458324900E-1,1.527118147E-3,-1.252236869E-2,-1.267508045E-2
1.482092090E-1,1.267508045E-2,-1.130067464E-2,-1.740914769E-2
1.505859800E-1,2.137965336E-2,-1.252236869E-2,-1.725643501E-2
1.529626980E-1,2.764083818E-2,-8.857285604E-3,-1.954711229E-2
1.553394170E-1,3.268032894E-2,-5.344913341E-3,-2.061609551E-2
1.577161360E-1,3.634541109E-2,-6.566607859E-3,-1.817270555E-2
1.600928550E-1,3.894151375E-2,-5.344913341E-3,-1.679829881E-2
1.624695730E-1,4.260659590E-2,-8.857285604E-3,-1.924168877E-2
1.648462920E-1,4.764608666E-2,-7.788302377E-3,-1.801999472E-2
1.672230110E-1,5.131116882E-2,-7.788302377E-3,-1.786728203E-2
1.695997300E-1,5.635065958E-2,-5.344913341E-3,-2.031067200E-2
1.719765000E-1,5.757235363E-2,-2.901524538E-3,-1.893626526E-2
1.743532190E-1,5.757235363E-2,-4.123218823E-3,-1.771457121E-2
